game_key,n_market_types,series
26AUG08CRATL,11,KXBRASILEIRO1H|KXBRASILEIRO1HBTTS|KXBRASILEIRO1HSPREAD|KXBRASILEIRO1HTOTAL|KXBRASILEIROBTTS|KXBRASILEIROFTTS|KXBRASILEIROGAME|KXBRASILEIROSCORE|KXBRASILEIROSPREAD|KXBRASILEIROTEAMTOTAL|KXBRASILEIROTOTAL
26AUG08GPASPA,11,KXBRASILEIRO1H|KXBRASILEIRO1HBTTS|KXBRASILEIRO1HSPREAD|KXBRASILEIRO1HTOTAL|KXBRASILEIROBTTS|KXBRASILEIROFTTS|KXBRASILEIROGAME|KXBRASILEIROSCORE|KXBRASILEIROSPREAD|KXBRASILEIROTEAMTOTAL|KXBRASILEIROTOTAL
26AUG07VANJUA,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG07TIGMIN,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG07CINPUM,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG07CLTATL,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG07CLBPAC,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG06PORPUE,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG06AMESD,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG06ATXTIJ,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG06CHINCX,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG06CRAPHI,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG06NYCSLA,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG06THUREY,11,KXUEL1H|KXUEL1HBTTS|KXUEL1HSPREAD|KXUEL1HTOTAL|KXUELBTTS|KXUELFTTS|KXUELGAME|KXUELSCORE|KXUELSPREAD|KXUELTEAMTOTAL|KXUELTOTAL
26AUG06SHAEGR,11,KXUEL1H|KXUEL1HBTTS|KXUEL1HSPREAD|KXUEL1HTOTAL|KXUELBTTS|KXUELFTTS|KXUELGAME|KXUELSCORE|KXUELSPREAD|KXUELTEAMTOTAL|KXUELTOTAL
26AUG06PAOKRSC,11,KXUEL1H|KXUEL1HBTTS|KXUEL1HSPREAD|KXUEL1HTOTAL|KXUELBTTS|KXUELFTTS|KXUELGAME|KXUELSCORE|KXUELSPREAD|KXUELTEAMTOTAL|KXUELTOTAL
26AUG06PAFRBS,11,KXUEL1H|KXUEL1HBTTS|KXUEL1HSPREAD|KXUEL1HTOTAL|KXUELBTTS|KXUELFTTS|KXUELGAME|KXUELSCORE|KXUELSPREAD|KXUELTEAMTOTAL|KXUELTOTAL
26AUG06MTACSK,11,KXUEL1H|KXUEL1HBTTS|KXUEL1HSPREAD|KXUEL1HTOTAL|KXUELBTTS|KXUELFTTS|KXUELGAME|KXUELSCORE|KXUELSPREAD|KXUELTEAMTOTAL|KXUELTOTAL
26AUG06LPOKI,11,KXUEL1H|KXUEL1HBTTS|KXUEL1HSPREAD|KXUEL1HTOTAL|KXUELBTTS|KXUELFTTS|KXUELGAME|KXUELSCORE|KXUELSPREAD|KXUELTEAMTOTAL|KXUELTOTAL
26AUG06LINOMO,11,KXUEL1H|KXUEL1HBTTS|KXUEL1HSPREAD|KXUEL1HTOTAL|KXUELBTTS|KXUELFTTS|KXUELGAME|KXUELSCORE|KXUELSPREAD|KXUELTEAMTOTAL|KXUELTOTAL
26AUG06LARIBE,11,KXUEL1H|KXUEL1HBTTS|KXUEL1HSPREAD|KXUEL1HTOTAL|KXUELBTTS|KXUELFTTS|KXUELGAME|KXUELSCORE|KXUELSPREAD|KXUELTEAMTOTAL|KXUELTOTAL
26AUG06KUPSCSU,11,KXUEL1H|KXUEL1HBTTS|KXUEL1HSPREAD|KXUEL1HTOTAL|KXUELBTTS|KXUELFTTS|KXUELGAME|KXUELSCORE|KXUELSPREAD|KXUELTEAMTOTAL|KXUELTOTAL
26AUG06JAGRFC,11,KXUEL1H|KXUEL1HBTTS|KXUEL1HSPREAD|KXUEL1HTOTAL|KXUELBTTS|KXUELFTTS|KXUELGAME|KXUELSCORE|KXUELSPREAD|KXUELTEAMTOTAL|KXUELTOTAL
